,Company,Name,Model,Kms_Driven,Model Year,Reg Year,City,Engine Capacity,Insurance,Automatic,Power,Fuel Type,Ownership,Number of Seats,Mileage,X-factor,Price
3894,Kia,Seltos,['GTK'],76950,2019,2019,Ahmedabad,1353,1,False,138.0,0,1,5,16.1,SUV,1042000
3895,Mahindra,XUV500,"['AT', 'W10', 'FWD']",70000,2018,2018,Ahmedabad,2179,1,True,140.0,1,2,7,16.0,SUV,969999
3896,Toyota,Urban,"['cruiser', 'High']",10000,2022,2022,Ahmedabad,1462,1,False,103.26,0,1,5,17.03,SUV,1021000
3897,Honda,Amaze,"['S', 'BSVI']",20000,2021,2021,Ahmedabad,1199,1,False,88.5,0,1,5,18.6,Sedan,700000
3898,Honda,Amaze,"['S', 'BSVI']",20000,2021,2021,Ahmedabad,1199,1,False,88.5,0,1,5,18.6,Sedan,700000
3899,Honda,Brio,"['S', 'MT']",70000,2013,2013,Ahmedabad,1198,1,False,86.8,0,4,5,19.4,Hatchback,250000
3900,Maruti,Wagon,"['R', 'LXI', 'CNG']",50000,2011,2011,Ahmedabad,998,1,False,58.2,2,2,5,26.2,Hatchback,204999
3901,Maruti,Alto,['LXi'],40000,2011,2011,Ahmedabad,796,1,False,46.3,0,1,5,19.7,Hatchback,180000
3902,Hyundai,Grand,"['i10', '1.2', 'Kappa', 'Magna', 'BSIV']",98895,2017,2017,Ahmedabad,1197,2,False,81.86,0,1,5,18.9,Hatchback,447000
3903,Volkswagen,Vento,"['Petrol', 'Highline']",89797,2013,2013,Ahmedabad,1598,2,False,103.6,0,2,5,15.04,Sedan,365000
3904,Hyundai,i20,"['1.4', 'Asta', 'Option']",78064,2018,2019,Ahmedabad,1396,1,False,88.73,1,2,5,22.54,Hatchback,730000
3905,Hyundai,Venue,"['SX', 'Plus', 'Turbo', 'DCT']",19880,2022,2022,Ahmedabad,998,2,True,118.35,0,1,5,18.15,SUV,1192000
3906,Jeep,Compass,['Trailhawk'],84114,2019,2019,Ahmedabad,1956,1,False,170.0,1,1,5,16.3,SUV,1695000
